y_code,max_y_rdate,k_features
RRSFS_diff_lag_1,2019-08-01,22
INDPRO_perc_diff_lag_1,2019-08-01,14
INDPRO_diff_lag_1,2019-08-01,11
BOPTEXP_perc_diff_lag_1,2019-08-01,15
BOPTEXP_diff_lag_1,2019-08-01,12
CPALTT01USM657N,2019-08-01,12
AMDMVS_diff_lag_1,2019-08-01,14
DSPIC96_diff_lag_1,2021-08-01,11
DSPIC96_perc_diff_lag_1,2021-08-01,11
PCEC96_perc_diff_lag_1,2021-08-01,15
PCEC96_diff_lag_1,2021-08-01,12
INVCMRMT_diff_lag_1,2021-08-01,14
TCU_diff_lag_1,2021-08-01,19
BOPTIMP_diff_lag_1,2021-08-01,11
BOPTIMP_perc_diff_lag_1,2021-08-01,12
PAYEMS_diff_lag_1,2021-08-01,31
RRSFS_perc_diff_lag_1,2021-08-01,12
RRSFS_diff_lag_1,2021-08-01,11
INDPRO_perc_diff_lag_1,2021-08-01,20
INDPRO_diff_lag_1,2021-08-01,12
BOPTEXP_diff_lag_1,2021-08-01,14
